"year","week","name","value","region"
2023,27,"reports",300,"北九州市"
2023,27,"per_sentinel",8.57,"北九州市"
2023,27,"reports",36,"久留米市"
2023,27,"per_sentinel",3.27,"久留米市"
2023,27,"reports",145,"宗像・遠賀"
2023,27,"per_sentinel",12.08,"宗像・遠賀"
2023,27,"reports",169,"粕屋"
2023,27,"per_sentinel",14.08,"粕屋"
2023,27,"reports",252,"筑紫"
2023,27,"per_sentinel",15.75,"筑紫"
2023,27,"reports",54,"糸島"
2023,27,"per_sentinel",9,"糸島"
2023,27,"reports",38,"田川"
2023,27,"per_sentinel",5.43,"田川"
2023,27,"reports",58,"北筑後"
2023,27,"per_sentinel",7.25,"北筑後"
2023,27,"reports",146,"南筑後"
2023,27,"per_sentinel",7.3,"南筑後"
2023,27,"reports",55,"京築"
2023,27,"per_sentinel",6.88,"京築"
2023,27,"reports",90,"嘉穂・鞍手"
2023,27,"per_sentinel",7.5,"嘉穂・鞍手"
2023,28,"reports",2560,"福岡県"
2023,28,"per_sentinel",12.93,"福岡県"
2023,28,"reports",74,"福岡市中央区"
2023,28,"per_sentinel",12.33,"福岡市中央区"
2023,28,"reports",30,"福岡市博多区"
2023,28,"per_sentinel",4.29,"福岡市博多区"
2023,28,"reports",90,"福岡市南区"
2023,28,"per_sentinel",10,"福岡市南区"
2023,28,"reports",323,"福岡市早良区"
2023,28,"per_sentinel",40.38,"福岡市早良区"
2023,28,"reports",142,"福岡市東区"
2023,28,"per_sentinel",15.78,"福岡市東区"
2023,28,"reports",111,"福岡市西区"
2023,28,"per_sentinel",15.86,"福岡市西区"
2023,28,"reports",114,"福岡市城南区"
2023,28,"per_sentinel",22.8,"福岡市城南区"
2023,28,"reports",334,"北九州市"
2023,28,"per_sentinel",9.54,"北九州市"
2023,28,"reports",75,"久留米市"
2023,28,"per_sentinel",6.82,"久留米市"
2023,28,"reports",171,"宗像・遠賀"
2023,28,"per_sentinel",14.25,"宗像・遠賀"
2023,28,"reports",143,"粕屋"
2023,28,"per_sentinel",11.92,"粕屋"
2023,28,"reports",275,"筑紫"
2023,28,"per_sentinel",17.19,"筑紫"
2023,28,"reports",72,"糸島"
2023,28,"per_sentinel",12,"糸島"
2023,28,"reports",30,"田川"
2023,28,"per_sentinel",4.29,"田川"
2023,28,"reports",124,"北筑後"
2023,28,"per_sentinel",15.5,"北筑後"
2023,28,"reports",240,"南筑後"
2023,28,"per_sentinel",12,"南筑後"
2023,28,"reports",65,"京築"
2023,28,"per_sentinel",8.13,"京築"
2023,28,"reports",147,"嘉穂・鞍手"
2023,28,"per_sentinel",12.25,"嘉穂・鞍手"
